DATE,STATION,NAME,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
1960-04-13,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,63.0,49.0,,,,,,,,,,,,,,,,,,,
1960-04-14,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,64.0,51.0,,,,,,,,,,,,,,,,,,1.0,
1960-04-15,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,64.0,48.0,,,,,,,,,,,,,,,,,,,
1960-04-16,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,69.0,41.0,,,,,,,,,,,,,,,,,,,
1960-04-17,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,63.0,44.0,,,,,,,,,,,,,,,,,,,
1960-04-18,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,66.0,50.0,,,,,,,,,,,,,,,,1.0,,1.0,
1960-04-19,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,67.0,50.0,,,,,,,,,,,,,,,,,,,
1960-04-20,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,67.0,47.0,,,,,,,,,,,,,,,,,,,
1960-04-21,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,47.0,,,,,,,,,,,,,,,,,,,
1960-04-22,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,57.0,41.0,,,,,,,,,,,,,,,,,,1.0,
1960-04-23,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,58.0,43.0,,,,,,,,,,,,,,,,,,1.0,
1960-04-24,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,40.0,,,,,,,,,,,,,,,,,,,
1960-04-25,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,64.0,48.0,,,,,,,,,,,,,,,,,,,
1960-04-26,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.4,0.0,0.0,,59.0,45.0,,,,,,,,,,,,,,,,,,1.0,
1960-04-27,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.19,0.0,0.0,,60.0,48.0,,,,,,,,,,,,1.0,,,,,,1.0,
1960-04-28,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,61.0,47.0,,,,,,,,,,,,,,,,,,,
1960-04-29,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,64.0,44.0,,,,,,,,,,,,,,,,,,,
1960-04-30,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,51.0,,,,,,,,,,,,,,,,,,,
1960-05-01,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,66.0,47.0,,,,,,,,,,,,,,,,,,1.0,
1960-05-02,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,59.0,51.0,,,,,,,,,,,,,,,,,,,
1960-05-03,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.17,0.0,0.0,,59.0,49.0,,,,,,,,,,1.0,,,,,,,,1.0,
1960-05-04,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,65.0,49.0,,,,,,,,,,,,,,,,,,1.0,
1960-05-05,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,68.0,45.0,,,,,,,,,,,,,,,,,,,
1960-05-06,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,73.0,48.0,,,,,,,,,,,,,,,,,,,
1960-05-07,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,71.0,52.0,,,,,,,,,,,,,,,,,,,
1960-05-08,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,64.0,53.0,,,,,,,,,,,,,,,,,,,
1960-05-09,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,73.0,46.0,,,,,,,,,,,,,,,,,,,
1960-05-10,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,77.0,52.0,,,,,,,,,,,,,,,,,,,
1960-05-11,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,70.0,54.0,,,,,,,,,,,,,,,,,,1.0,
1960-05-12,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,67.0,54.0,,,,,,,,,,,,,,,,,,,
1960-05-13,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,69.0,50.0,,,,,,,,,,,,,,,,,,,
1960-05-14,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,65.0,51.0,,,,,,,,,,,,,,,,,,,
1960-05-15,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,63.0,52.0,,,,,,,,,,,,,,,,,,,
1960-05-16,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,67.0,50.0,,,,,,,,,,,,,,,,,,,
1960-05-17,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,68.0,47.0,,,,,,,,,,,,,,,,,,,
1960-05-18,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,71.0,52.0,,,,,,,,,,,,,,,,,,,
1960-05-19,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,80.0,47.0,,,,,,,,,,,,,,,,,,,
1960-05-20,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,64.0,52.0,,,,,,,,,,,,,,,,,,1.0,
1960-05-21,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,46.0,,,,,,,,,,,,,,,,,,,
1960-05-22,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.0,0.0,0.0,,62.0,44.0,,,,,,,,,,,,,,,,,,,
1960-05-23,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.1,0.0,0.0,,59.0,51.0,,,,,,,,,,,,,,,,,,1.0,
1960-05-24,USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",,,,,,,,,0.36,0.0,0.0,,64.0,51.0,,,,,,,,,,,,,,,,,,1.0,
